2016-01-04 14:57:33,453 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @647369ms
2016-01-04 14:57:33,532 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2016-01-04 14:57:33,566 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@7434ff52{/help,null,AVAILABLE}
2016-01-04 14:57:33,580 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@6487f04d{HTTP/1.1}{127.0.0.1:50446}
2016-01-04 14:57:33,581 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @647499ms
2016-01-04 15:47:54,903 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not available. Remote download required.
2016-01-04 18:30:13,827 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@6487f04d{HTTP/1.1}{127.0.0.1:0}
2016-01-04 18:30:13,881 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@7434ff52{/help,null,UNAVAILABLE}
2016-01-05 11:34:37,700 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-01-05 14:49:11,381 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-01-05 18:57:09,194 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-01-06 13:29:55,276 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-01-11 12:40:43,029 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-01-12 14:12:41,412 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-01-15 12:31:17,686 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-01-18 12:01:05,694 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-01-18 17:02:04,600 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-01-19 14:12:24,428 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-01-21 14:16:14,234 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-01-21 16:45:38,656 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-01-22 14:30:42,052 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-01-25 11:14:18,939 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2016-01-26 11:03:29,813 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-02-01 12:41:05,075 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
